ID;VERSION;VERSION_TIME;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;PLACE;PUBLIC_HOLIDAY_IDENTIFIER;LAT;LNG
d37bee76-91b6-485a-b974-24f1b0d391fa;4;"2015-01-09 10:26:15.000000";"Aral Tankstelle";ARAL;"An der Tagweide";2;76139;Karlsruhe;\N;49.0202799;8.459429
51d4b652-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET MANNHEIM UNTERMUEHLAUSTRASSE 83";JET;"UNTERMUEHLAUSTRASSE 83";\N;68169;MANNHEIM;\N;49.5089619;8.467691
c7caf231-0e47-40db-92de-9349a2eb2bef;4;"2014-09-26 13:24:57.000000";"Aral Tankstelle";ARAL;"Trippstadter Straße";69;67663;Kaiserslautern;\N;49.433754;7.7574649
51d4b53b-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET KAISERSLAUTERN PARISER STR. 167";JET;"PARISER STR. 167";\N;67655;KAISERSLAUTERN;\N;49.4421999;7.7483599
51d4b70f-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET GERMERSHEIM MUENCHENER STRASSE 12";JET;"MUENCHENER STRASSE 12";\N;76726;GERMERSHEIM;\N;49.2267999;8.3743999
51d4b5b9-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET BAD DUERKHEIM GUTLEUTSTR. 10";JET;"GUTLEUTSTR. 10";\N;67098;"BAD DUERKHEIM";\N;49.4641;8.1778499
51d4b5c5-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:33.000000";"Supermarkt-Tankstelle am real- Markt ALZEY FRIEDRICHSTR. 15";"Supermarkt-Tankstelle am real- Markt";"FRIEDRICHSTR. 15";\N;55232;ALZEY;\N;49.7428999;8.1078899
51d4b45d-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:33.000000";"Supermarkt-Tankstelle am real- Markt MUTTERSTADT AN DER FOHLENWEIDE 19";"Supermarkt-Tankstelle am real- Markt";"AN DER FOHLENWEIDE 19";\N;67112;MUTTERSTADT;\N;49.4251999;8.3650099
00060458-0001-4444-8888-acdc00000001;5;"2014-11-03 00:00:26.000000";"Tankhof Iffezheim";"Tankhof Iffezheim";"Südring ";19;76473;Iffezheim;\N;48.8167533;8.1573877
00060385-0001-4444-8888-acdc00000001;5;"2014-11-03 00:00:29.000000";"FREIE Tankstelle";"Schiffer & Nicklaus GmbH";"Kirchheimer Str. ";"45 A";67269;Grünstadt;\N;49.5602607;8.1690101
00060386-0002-4444-8888-acdc00000002;5;"2014-11-03 00:00:29.000000";"FREIE Tankstelle";"Schiffer & Nicklaus GmbH";"Obersülzer Str.";24;67269;Grünstadt;\N;49.5622863;8.1745538
2b690d89-9d37-4e3a-aebb-7de05f06139e;3;"2013-07-29 17:04:57.000000";"Oel-Huff GmbH Stefan Rudolph";;Weinstraße;4a;67480;Edenkoben;\N;49.2783299;8.1195799
77ceee39-2f6c-4646-ad49-81c1372d451b;4;"2014-03-14 09:01:27.000000";"H. CH. Sefrin GmbH";"Sefrin Heizöl & Kraftstoffe";"In der Fellach";12;76756;Bellheim;\N;49.1958399;8.30399
698f398d-bd57-4684-be70-ea76c2cbf491;1;"2013-08-14 16:45:30.000000";"Dudenhöffer & Rung GmbH";;"Am Kleinwald";46;76863;Herxheim;\N;49.1385;8.23099
400ce1d0-e095-47dd-a0fc-6073edd7c8d2;1;"2013-07-31 16:46:14.000000";"Globus Handelshof GmbH & Co.KG Betriebsstätte Ludwigshafen-Oggersheim";;Oderstraße;6;67061;Ludwigshafen-Oggersheim;\N;49.48664;8.3492999
7c5aca0f-b8e4-478e-9afb-46c2c136ae4e;1;"2013-07-31 16:46:14.000000";"Globus Handelshof GmbH & Co. KG  Betriebsstätte Kaiserslautern";;Merkurstr.;57;67663;Kaiserslautern;\N;49.44127;7.7101335
ba10c89e-d2f8-46d9-8ec5-6060bc32e89a;1;"2013-07-31 16:46:14.000000";"Globus Handelshof GmbH & Co. KG Betriebsstätte Grünstadt";;Daimlerstr.;23;67269;Grünstadt;\N;49.55763;8.1822499
8e04a261-815f-43f8-a5ba-20d12c5b3273;1;"2013-07-31 16:46:14.000000";"Globus Handelshof GmbH & Co. KG  Betriebsstätte Bobenheim-Roxheim";;"Frankenthaler Str.";1;67240;Bobenheim-Roxheim;\N;49.58758;8.3559099
2cf7753d-b6e8-4d41-95c3-8038e19a0e65;232;"2015-02-01 12:32:25.000000";"Volker Lautensack";bft;Lilienthalstr.;210;68307;Mannheim;\N;49.5461999;8.4691299
2312e195-7079-4b95-b370-d220fa7e3cbd;1;"2014-08-07 08:59:03.000000";"Globus Handelshof GmbH & Co. KG Betriebsstätte Neustadt";;Adolf-Kolping-Straße;173;67433;Neustadt;\N;49.339077;8.160396
8607b08c-fdc8-4e54-8c0e-3403b333437d;4;"2013-07-29 17:05:00.000000";"Sueleyman Inci";Markant;Siemensallee;77;76187;Karlsruhe;\N;49.02904;8.34734
daf56df5-bb5f-4297-a4bb-a0f444139d7f;232;"2015-02-01 12:32:24.000000";"Eleonore Bender";AVIA;Queichtalstr.;56;76855;Annweiler-Queichhambach;\N;49.2149;7.98854
82e92aca-b1ec-4bcf-3ab5-f192910c2716;621;"2015-04-27 23:01:58.000000";"nicht mehr aktiv";"nicht mehr aktiv";"nicht mehr aktiv";;nicht;"mehr aktiv";deRP;49.485311;8.4144989
51d4b551-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET MUTTERSTADT LUDWIGSHAFENER STR. 32";JET;"LUDWIGSHAFENER STR. 32";\N;67112;MUTTERSTADT;\N;49.4453;8.35814
51d4b553-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET WORMS MAINZER STR. 53";JET;"MAINZER STR. 53";\N;67547;WORMS;\N;49.6435;8.36274
d133b8ca-83eb-431c-8b35-0ae3b955ebbe;28;"2014-11-02 14:05:21.000000";"AVIA Servicestation";AVIA;Franz-Schubert-Straße;2;76863;Herxheim;\N;49.15279;8.206747
e50f3cfa-f32b-48e7-8304-a9f3d40d9996;29;"2014-11-02 14:05:21.000000";"AVIA Servicestation";AVIA;"Oestliche Rheinbrückenstraße";37a;76187;Karlsruhe-Knielingen;\N;49.0294799;8.342968
51d4b6bb-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET LANDAU MAXIMILIANSTR. 15";JET;"MAXIMILIANSTR. 15";\N;76829;LANDAU;\N;49.1991;8.1254
51b4b85c-a7fc-4b60-bde2-bbee6031bb8d;232;"2015-02-01 12:32:24.000000";"Minera-Creditank Jockgrim";AVIA;Schelmenwalplatz;3;76751;Jockgrim;\N;49.0972;8.27907
73f8787d-132a-426a-8791-02416103d4b6;232;"2015-02-01 12:32:24.000000";"Daniel Patti";AVIA;Bahnhofstr.;63;68623;Lampertheim-Hofheim;\N;49.6584;8.41774
fd0297ad-c29d-48ac-a33f-47f155103ae5;232;"2015-02-01 12:32:24.000000";"Mecit Yazici";AVIA;"Maudacher Str.";289;67065;Ludwigshafen;\N;49.457;8.40024
41a91145-91f7-441b-8ff4-a46f5aff37cc;232;"2015-02-01 12:32:25.000000";"Kurt Pfalzgraf Jr.";AVIA;"Untere Hauptstr.";39;76887;Oberhausen;\N;49.0989999;8.06189
952200d2-309b-45fc-ba4f-c13cef72077e;232;"2015-02-01 12:32:25.000000";"Waldemar Wirz";AVIA;"Berliner Ring";11;66955;Pirmasens;\N;49.1908999;7.60184
9a7e20b1-66df-4513-a00d-2ab68d185447;232;"2015-02-01 12:32:25.000000";"Marc Riedler";AVIA;Zeppelinstr.;\N;66953;Pirmasens;\N;49.204;7.60763
94179bf8-764e-4721-b261-62c7bd510995;243;"2015-06-21 12:32:38.000000";"Kurt Ogrzall";AVIA;Weinstr.;82;76889;Klingenmünster;\N;49.1443;8.02003
5c7bdc24-f414-42b9-a1da-d00fd9493f1a;232;"2015-02-01 12:32:25.000000";"Michael Wagner";AVIA;Apostelmühle;5;66976;Rodalben;\N;49.2501999;7.61542
a0c8d1f7-9187-487e-9e63-c192a560f087;232;"2015-02-01 12:32:25.000000";"Ludwig Heintz GmbH";AVIA;Hauptstr.;7;66919;Saalstadt;\N;49.323;7.55316
8ca3988e-fac2-4f2e-a748-d3b250cd7f71;232;"2015-02-01 12:32:25.000000";"Regie-Tankstelle Schifferstadt";AVIA;"Speyerer Str.";\N;67105;Schifferstadt;\N;49.3770999;8.3749099
7a5496dd-4710-4dc2-84e2-7a803cea2799;1;"2014-08-11 16:59:18.000000";"Pelleter GmbH";Bft;Woogseestr.;1;76437;Rastatt;\N;48.8601949;8.228975
cdff494c-2f11-4001-9241-e7cf61c3ebb8;2;"2014-02-27 15:01:26.000000";"LUDWIGSHAFEN - ZOLLHOFSTRASSE 8";"Freie Tankstelle";Zollhofstrasse;8;67061;Ludwigshafen;deRP;49.4840459;8.449173
a21e3ed2-6d03-478f-32a3-9f33202182bc;864;"2015-09-28 23:02:00.000000";Landau;"AUTO ZOTZ Landau in der Pfalz   Tanken und waschen";;;;;deRP;49.2077779;8.13587
14ec4b5b-18f3-4664-b768-1958f9e3b49f;232;"2015-02-01 12:32:25.000000";"Rainer Zitzmann";AVIA;Mühlstr.;19;67165;Waldsee;\N;49.3868;8.4377999
e991a489-6456-38af-e040-0b0a3dfe7c4f;9;"2014-11-18 17:32:36.000000";"Edenkoben Staatsstr. 2";HEM;Staatsstr.;2;67480;Edenkoben;deRP;49.2854159;8.140352
46db1c0e-4fad-4fbb-8fa6-4cca12dffc45;17;"2015-08-27 20:00:04.000000";"Autohaus Fritz Walter GmbH";"Fritz Walter GmbH";"Hauptstr. ";90;76872;Steinweiler;\N;49.11836;8.1419099
e1a15081-25b2-9107-e040-0b0a3dfe563c;9;"2014-11-18 17:32:37.000000";"Thaleischweiler-Fröschen Gewerbegebiet Ost 4";TAMOIL;"Gewerbegebiet Ost";4;66987;Thaleischweiler-Fröschen;deRP;49.2670859;7.5925169
aa29ee35-107d-4593-986d-64e20f212b9e;232;"2015-02-01 12:32:25.000000";"Ingo Trieschmann";bft;Bruchstr.;10;67098;"Bad Dürkheim";\N;49.4694;8.2024299
f00972bb-2cd3-45a7-a3df-a75f4069cee7;17;"2015-08-27 20:00:04.000000";"Heinz Memmer";Freie;Karlshöhlchen;1;76872;Freckenfeld;\N;49.06866;8.1257789
72046e37-447b-456e-86d8-7832c05aa88f;16;"2015-08-27 20:00:04.000000";rnt;rnt;"Franz-Kirrmeier-Strasse ";7;67346;Speyer;\N;49.323619;8.446426
e1a15081-2507-9107-e040-0b0a3dfe563c;5;"2014-11-18 17:32:38.000000";"Bad Bergzabern Weinstr. 63";HEM;Weinstr.;63;76887;"Bad Bergzabern";deRP;49.101067;8.0003499
4b85efa1-44d9-42f5-83d0-61745f958d11;1;"2014-02-26 09:41:53.000000";"Eberhardt Hardeckstraße Karlsruhe";\N;Hardeckstraße;16;76185;Karlsruhe;\N;48.996495;8.360072
de58a718-c2de-4fde-a435-180175909831;1;"2014-02-26 09:41:53.000000";"Eberhardt Rastatter Straße Karlsruhe";\N;"Rastatter Straße";116;76199;Karlsruhe;\N;48.966234;8.4042429
85aae4a5-89c0-44c7-b994-d8fdc325ca48;1;"2014-11-03 00:07:00.000000";Kaiserslautern;"Schuster & Sohn KG";"Kohlenhofstr. 6-12";;67663;Kaiserslautern;\N;49.4365;7.774833
9ddfa98a-e5ff-4118-998d-0fda78318b3c;1;"2014-11-03 00:07:00.000000";Landstuhl;"Schuster & Sohn KG";"Bahnstr. 128";;66849;Landstuhl;\N;49.4147529;7.590071
96ac055f-681a-475a-9b16-9490aaa2c63b;1;"2014-11-03 00:07:00.000000";Pirmasens;"Schuster & Sohn KG";"Zweibrücker Str. 199";;66954;Pirmasens;\N;49.21965;7.593232
4b3c04a2-dc5a-44b9-ab23-dfb9072e115c;1;"2014-11-03 00:07:00.000000";Haßloch;"Schuster & Sohn KG";"Rudolf-Diesel Straße 4";;67454;Haßloch;\N;49.3736099;8.256667
884410fe-0e4b-4d93-bd72-55d54c16e755;5;"2013-10-29 20:31:50.000000";"Raiffeisen Tankstelle Westhofen";Raiffeisen;Raiffeisenstraße;6;67593;Westhofen;\N;49.7003021;8.2478084
00060562-0001-4444-8888-acdc00000001;5;"2014-11-03 00:00:10.000000";"Tankcenter Ziehl";;"Carl-Benz Str. ";28;67227;Frankenthal;\N;49.5434913;8.3367385
d2a7a921-f817-4b88-8987-0b757ab09e38;3;"2014-01-23 09:12:00.000000";"Tankstelle am E Center";"E Center";"Gaußstr. 12";\N;68623;Lampertheim;\N;49.597163;8.487023
06ab3c7d-0bb7-4bc7-9711-7c02bc2672dd;7;"2015-06-01 12:54:31.000000";"Aral Tankstelle";ARAL;"Am Rathausplatz";22;67125;Dannstadt-Schauernhe;\N;49.4318657;8.3092469
e0b19675-dfe9-45d4-9af0-59390cd39c09;5;"2014-11-02 12:33:20.000000";"AVIA Au am Rhein";AVIA;"Lammstr. ";1;76474;"Au am Rhein";\N;48.9506999;8.23792
cc20788d-eeef-48e2-bd97-0b55926c4c48;5;"2014-11-02 12:33:20.000000";"AVIA Eppenbrunn";AVIA;"Talstr. ";44;66957;Eppenbrunn;\N;49.1163;7.55836
42ba4c08-7be7-4460-9c9d-0602b762d862;5;"2014-11-02 12:33:21.000000";"AVIA Karlsruhe-Waldstadt";AVIA;"Königsberger Str. ";5;76139;Karlsruhe;\N;49.0334;8.4322999
a6fdf6e7-d225-49b1-95a6-9465c4f3a980;5;"2014-11-02 12:33:21.000000";"AVIA Karlsruhe-Nordweststadt";AVIA;Wilhelm-Hausenstein-Allee;16;76187;Karlsruhe;\N;49.0292999;8.37071
8e1a7eb4-42cf-4665-8f2d-61ef33478bc4;4;"2014-11-02 12:33:21.000000";"AVIA Kuppenheim";AVIA;"Friedrichstr. ";118;76456;Kuppenheim;\N;48.8245;8.2525499
5374ea5c-bf3e-4b0a-8504-049368adcdba;39;"2014-11-02 12:33:22.000000";"AVIA Phillipsburg";AVIA;"Dammstr. ";4-6;76661;Phillipsburg;\N;49.2317999;8.46319
4ed45709-ee79-489d-be83-b0d188d17494;4;"2014-11-02 12:33:22.000000";"AVIA Rheinstetten";AVIA;"Hauptstr. ";34a;76287;Rheinstetten;\N;48.9746;8.31436
8f660730-536d-4857-88dc-9a05a062d60f;5;"2014-11-02 12:33:22.000000";"AVIA Weilerbach";AVIA;"Hauptstr. ";71;67685;Weilerbach;\N;49.4784;7.6369699
51d4b6cb-a095-1aa0-e100-80009459e03a;796;"2015-09-28 21:00:13.000000";"JET NEUSTADT LANDAUER STR. 58-60";JET;"LANDAUER STR. 58-60";\N;67434;NEUSTADT;\N;49.3474999;8.1512299
805a5d72-50bb-438a-a243-978a19ec2691;23;"2015-09-01 20:00:04.000000";"EP Tankstelle UG";Freie;"Barbarossastr. ";39;66851;Queidersbach;\N;49.377634;7.6376509
b7a2f125-5820-4dc1-9db3-84ddf21b78c7;16;"2015-08-27 20:00:04.000000";"TK Jöhlingen 6";"Eberhardt Jöhlingen";"Grombacher Str. ";63;75045;Joehlingen;\N;48.966211;8.4042759
12df4ed4-df41-45ff-8189-4b8a31236b2c;26;"2015-08-27 20:00:04.000000";"bft-Tankstelle Jürgen Heydasch";BFT;Horchheimerstr.;125;67547;Worms;\N;49.61554;8.3399099
c003854a-baa7-4b89-8104-f54863187831;18;"2015-01-04 12:34:19.000000";"AVIA Otterberg";AVIA;"Hauptstr. ";2;67697;Otterberg;\N;49.4968999;7.76797
829f0774-cc8d-428d-847b-145c5918155e;3;"2014-11-10 10:28:23.000000";"Aral Tankstelle";ARAL;Hauptstraße;13;67691;Hochspeyer;\N;49.4433632;7.8828089
53f1bb34-8123-4b7a-aa25-94b3a49d82d3;232;"2015-02-01 12:32:24.000000";"Minera-Creditank Carlsberg";AVIA;Linienstr.;62;67316;Carlsberg;\N;49.5035;8.03367
90d0cc24-48f2-44ee-afbf-120899f89566;232;"2015-02-01 12:32:24.000000";"Minera-Creditank Dettenheim";AVIA;Hauptstr.;139;76706;Dettenheim-Liedolsheim;\N;49.1659999;8.41562
a252bf23-b4cf-49d8-9f1d-1700077e1f9e;4;"2014-11-18 17:32:36.000000";"Kaiserslautern Pariser Str. 188";HEM;"Pariser Str.";188;67655;Kaiserslautern;deRP;49.4425349;7.745478
ef71bc50-b1f6-4fc6-ac96-6340c71c9bb9;7;"2015-01-12 15:00:36.000000";"BAT WATTENHEIM - A6";Agip;"An der A 6";;67319;Wattenheim;deRP;49.5295776;8.0874014
eef314cf-a84a-4648-9284-c2df1efa36c9;5;"2014-11-26 01:00:39.000000";Winkler-Kaiserslautern;Winkler;Mainzerstraße;110;67657;Kaiserslautern;\N;49.4536749;7.7916829
b43ef54a-c0ea-49b4-9d58-3505409ad55b;4;"2013-09-23 15:03:14.000000";"Aral Tankstelle";ARAL;"Linkenheimer Landstraße";125;76149;Karlsruhe;\N;49.0381165;8.393598
39eaae7a-14b5-48ec-a9ad-efef9682df39;4;"2013-09-23 15:03:52.000000";"Aral Tankstelle";ARAL;"Schafhäuser Straße";2-6;55232;Alzey;\N;49.7507799;8.1192109
4168cc8c-3c08-4ab6-aab4-6cc8c4e3c380;2;"2013-09-23 15:03:57.000000";"Aral Tankstelle";ARAL;Ettlinger-Straße;35;76307;Karlsbad;\N;48.9173126;8.4999409
1db8c369-2742-4f18-a4cb-fcb536294636;4;"2013-09-23 15:05:05.000000";"Aral Tankstelle";ARAL;Friedrich-Ebert-Straße;12-14;68167;Mannheim;\N;49.4965819;8.4877059
a674473d-bdc4-4e05-9677-e4dd74ed0184;4;"2013-09-23 15:05:11.000000";"Aral Tankstelle";ARAL;Untermuehlaustraße;50;68169;Mannheim;\N;49.50618;8.463967
